colonna,range,min,max,n,winrate,profit_u,roi_pct,break_even_odd
spread_fav_dog,1.65-1.70,1.6500000000000006,1.7000000000000006,36,0.75,-1.4399999999999995,-3.9999999999999987,1.3333333333333333
odd_2,3.50-3.55,3.5000000000000018,3.5500000000000025,36,0.75,-1.4399999999999995,-3.9999999999999987,1.3333333333333333
odd_dog,4.20-4.25,4.199999999999996,4.249999999999996,40,0.75,-1.5999999999999996,-3.9999999999999996,1.3333333333333333
odd_fav,2.25-2.30,2.250000000000001,2.3000000000000007,123,0.7479674796747967,-5.239999999999998,-4.260162601626015,1.3369565217391306
odd_fav,2.50-2.55,2.500000000000001,2.550000000000001,87,0.7471264367816092,-3.799999999999997,-4.36781609195402,1.3384615384615386
odd_fav,1.90-1.95,1.9000000000000006,1.9500000000000006,150,0.7466666666666667,-6.639999999999997,-4.426666666666665,1.3392857142857142
spread_fav_dog,1.50-1.55,1.5000000000000004,1.5500000000000005,59,0.7457627118644068,-2.6799999999999997,-4.542372881355932,1.3409090909090908
odd_dog,3.20-3.25,3.1999999999999993,3.249999999999999,97,0.7422680412371134,-4.839999999999996,-4.98969072164948,1.347222222222222
odd_x,3.25-3.30,3.2499999999999973,3.299999999999997,123,0.7398373983739838,-6.519999999999996,-5.300813008130078,1.3516483516483515
spread_fav_dog,1.90-1.95,1.9000000000000008,1.9500000000000008,38,0.7368421052631579,-2.1599999999999993,-5.684210526315788,1.3571428571428572
odd_2,3.40-3.45,3.400000000000002,3.450000000000002,38,0.7368421052631579,-2.1599999999999993,-5.684210526315788,1.3571428571428572
odd_dog,3.40-3.45,3.3999999999999986,3.4499999999999984,222,0.7342342342342343,-13.359999999999992,-6.018018018018015,1.361963190184049
odd_2,2.85-2.90,2.8500000000000014,2.9000000000000012,75,0.7333333333333333,-4.599999999999998,-6.13333333333333,1.3636363636363638
odd_x,3.20-3.25,3.1999999999999975,3.2499999999999973,112,0.7321428571428571,-7.039999999999999,-6.285714285714285,1.3658536585365855
odd_1,2.85-2.90,2.8500000000000014,2.9000000000000012,41,0.7317073170731707,-2.5999999999999996,-6.341463414634145,1.3666666666666667
